timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294751683081,-12,-11,-10,-9,7,-10,-7,-10
1519294751683081,-12,-14,-11,4,-13,-10,-10,-8
1519294751697867,13,13,8,-10,9,6,7,8
1519294751697867,-11,-15,-11,-1,-2,-11,-8,-9
1519294751705141,5,6,3,0,-3,8,5,6
1519294751705141,5,7,4,-3,15,4,4,3
1519294751720928,-7,-9,-8,5,-17,-10,-5,-5
1519294751720928,1,5,6,3,4,4,2,3
1519294751735237,-9,-10,-9,-4,-8,-5,-8,-7
1519294751735237,-11,-12,-12,-10,-7,-9,-9,-9
1519294751743029,13,14,11,18,10,10,10,9
1519294751743029,-13,-14,-14,-4,-20,-11,-9,-9
1519294751757073,4,4,8,4,2,6,2,1
1519294751757073,5,8,9,-8,-1,-2,3,4
1519294751765045,-8,-12,-10,-7,-9,-7,-7,-7
1519294751765045,7,11,12,12,3,6,5,6
1519294751780085,-4,-7,-12,-12,-8,-6,-4,-4
1519294751780085,10,6,-1,10,14,12,5,8
1519294751795125,13,14,7,12,17,14,9,8
1519294751795125,-13,-12,-9,-11,-1,-7,-8,-7
1519294751802311,-4,-3,-6,-9,-8,-5,-3,-4
1519294751802311,6,8,11,6,1,6,5,5
1519294751825205,-11,-10,-11,-9,-11,-10,-9,-8
1519294751825205,12,13,10,7,10,8,6,8
1519294751832224,-4,-4,-3,-3,-11,-3,-5,-3
1519294751832224,8,3,-1,15,6,6,2,3
1519294751848422,-5,-3,2,0,-8,-6,-2,-3
1519294751848422,-11,-13,-14,-65,-22,-13,-10,-11
1519294751862565,-10,-14,-17,-20,-7,-8,-7,-9
1519294751862565,8,11,16,1,-4,3,5,5
1519294751877344,-2,-2,-4,-1,1,0,-1,0
1519294751877344,-1,-2,0,16,-2,1,-2,-2
1519294751885628,1,3,-3,-9,0,-1,0,2
1519294751885628,-13,-13,-13,-5,-8,-9,-6,-10
1519294751907679,18,18,15,16,13,17,13,14
1519294751907679,-12,-13,-9,13,-3,-9,-8,-11
1519294751922715,-10,-13,-4,-18,-5,-9,-8,-10
1519294751922715,5,8,4,10,2,7,6,4
1519294751930114,0,-1,-2,-3,-6,-1,0,0
1519294751930114,-6,-9,-4,-6,-4,-7,-5,-4
1519294751945139,3,4,2,16,9,2,2,2
1519294751945139,-9,-11,-11,-6,-7,-6,-6,-7
1519294751953177,16,17,14,6,9,8,9,10
1519294751953177,-11,-10,-12,-5,-9,-10,-7,-8
1519294751960191,-8,-9,-5,-16,-16,-9,-8,-9
1519294751960191,13,14,14,18,16,9,11,10
1519294751975011,1,3,-2,4,-8,1,1,1
1519294751975011,-5,-6,0,6,6,-1,-2,-3
1519294751983255,2,6,5,-12,2,0,3,1
1519294751983255,-6,-8,-4,1,-4,-1,-4,-5
1519294751997032,12,10,6,10,8,7,5,8
1519294751997032,-10,-8,-3,-22,-7,-7,-8,-7
1519294752005296,-12,-14,-11,-1,-13,-8,-8,-8
1519294752005296,13,15,12,6,13,8,10,9
1519294752020632,-14,-13,-8,-9,-17,-13,-8,-10
1519294752020632,3,2,-6,14,12,4,2,4
1519294752035419,4,7,4,6,13,6,5,3
1519294752035419,-8,-8,2,23,-5,-5,-5,-7
1519294752042745,9,8,4,-13,-11,3,4,7
1519294752042745,-8,-9,-10,0,6,-5,-5,-4
1519294752065671,-12,-13,-4,-15,-14,-11,-8,-8
1519294752065671,11,11,4,-6,6,10,7,7
1519294752072724,-12,-15,-6,10,-6,-8,-9,-8
1519294752072724,-2,-2,-2,-3,3,0,-3,-1
1519294752087942,8,9,5,19,9,5,5,6
1519294752087942,-8,-11,-9,-39,-14,-7,-8,-8
1519294752103151,9,8,8,16,11,9,3,7
1519294752103151,-6,-2,-1,5,-1,-3,-1,-3
1519294752118228,-10,-9,-11,-9,-4,-8,-9,-8
1519294752118228,-5,-8,-17,-20,-2,-6,-4,-2
1519294752125110,7,6,-12,-24,10,10,7,7
1519294752125110,-9,-11,23,-32,-1,-6,-6,-8
1519294752140410,9,9,8,25,14,9,8,6
1519294752140410,0,3,-6,4,-16,-2,-2,-1
1519294752162475,-12,-14,-12,-23,-10,-11,-8,-11
1519294752162475,16,16,17,17,12,11,10,11
1519294752170499,-14,-15,-12,-22,-8,-10,-9,-11
1519294752170499,-4,-4,-7,22,-16,-9,-5,-5
1519294752185771,9,11,8,1,4,7,6,8
1519294752185771,-12,-16,-14,-3,-11,-8,-7,-9
1519294752192580,4,8,16,20,6,5,3,3
1519294752192580,2,2,0,8,0,-3,0,2
1519294752207595,-4,-4,6,11,-1,-5,-3,-3
1519294752207595,13,12,6,25,5,10,7,8
1519294752222722,11,13,15,14,11,7,7,8
1519294752222722,-11,-13,-15,9,-10,-9,-8,-9
1519294752245801,4,5,4,7,-5,1,2,3
1519294752245801,3,4,5,4,20,3,2,2
1519294752252749,-6,-9,-9,-5,-10,3,-3,-4
1519294752252749,4,5,3,-2,1,-7,-2,1
1519294752267758,-5,-7,-3,-30,-15,-9,-5,-5
1519294752267758,10,9,5,-4,0,8,7,7
1519294752274877,-10,-9,-17,4,-3,-4,-4,-7
1519294752274877,-12,-15,-6,-9,-9,-9,-8,-8
1519294752289883,7,6,-2,-5,8,3,5,3
1519294752289883,5,7,9,-3,0,2,3,4
1519294752298236,-5,-8,-2,0,-8,-6,-5,-5
1519294752298236,3,1,1,2,-1,3,3,1
1519294752305243,-8,-6,2,9,10,-8,-6,-5
1519294752305243,10,7,3,-9,3,8,6,6
1519294752320316,-9,-9,-11,4,3,-2,-5,-6
